Headline,Publication,Date
This Clip Pretty Much Sums Up Trump's Claims He Has Respect For Women,"The Huffington Post, 464 words",10/20/16
CNN's Van Jones On Donald Trump: 'You Can't Polish This Turd',"The Huffington Post, 482 words",10/20/16
Mortal Kombat's Scorpion To Hillary Clinton: 'Finish Him',"The Huffington Post, 808 words",10/20/16
Australian Comedy Team Fitzy and Wippa Take On Donald Trump In Hilarious Wham! Parody,"The Huffington Post, 452 words",10/24/16
"Trevor Noah: If Trump Is Elected, He'll Wage 'Warsuits'","The Huffington Post, 363 words",10/26/16
Seth Meyers Perfectly Explains How Donald Trump Has Ruined The GOP,"The Huffington Post, 377 words",10/28/16
Looking At Donald Trump's Innards Is The Scariest Thing You'll Do This Halloween,"The Huffington Post, 411 words",10/28/16
Jon Stewart Shows How To Win A Twitter War With Donald Trump,"The Huffington Post, 390 words",11/2/16
"Donald Trump Is Honored To Have The Greatest Temperament, Donald Trump Says","The Huffington Post, 416 words",11/3/16
Bill Maher Destroys Donald Trump On Facebook Live,"The Huffington Post, 417 words",11/3/16
"If Barack Obama Acted Like Donald Trump, He Would Never Be President","The Huffington Post, 499 words",11/3/16
Mariachi Band Booted From In Front Of Trump Tower,"The Huffington Post, 441 words",11/9/16
President Trump Defends Free Speech from Left-Wing Political Violence,"The Conservative Treehouse, 140 words",2/2/17
Education Secretary Betsy Devos Assaulted By Black Lives Matter Protesters During DC School Visit,"The Conservative Treehouse, 323 words",2/10/17
"Derry 'zealot' who resisted British rule through violence and democracy;The IRA's gradual transformation from a terrorist group to a political movement would have been almost impossible without McGuinness's involvement, recalls Andy McSmith","The Independent - Daily Edition, NEWS; Pg. 9, 1055 words",3/22/17
"Is Le Pen really 'far-right'?;By smearing all its opponents as fascists, the left blurs the line between democracy and racism","The Spectator, COLUMNISTS, 1433 words",5/6/17
"Montana, Hell, Let's Talk of the Democrat's LONG History of Political Violence","Publius' Forum, 1720 words",5/29/17
"Both Sides Do It, But Democrats Are Worse: Senseless Political Violence Edition","Lawyers, Guns, and Money, 235 words",6/4/17
